Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of tickets,Uptime
Nov-22,13330,53060,"Boat of Garten Community Hall, Boat of Garten Community Hall 22kW Tariff, ChargePlace Scotland, BP - ChargePlace Scotland",Highland,PH24 3BL,Any,ChargePlace Scotland,39,503.82,0,100.00%
Nov-22,13340,53009,"ChargePlace Scotland, Ingliston Country Club, Ingliston Country Club 7kW Tariff, BP - ChargePlace Scotland",Renfrewshire,PA7 5PA,Any,ChargePlace Scotland,9,277.69,1,100.00%
Nov-22,13341,53010,"ChargePlace Scotland, Ingliston Country Club, Ingliston Country Club 7kW Tariff, BP - ChargePlace Scotland",Renfrewshire,PA7 5PA,Any,ChargePlace Scotland,7,128.65,0,100.00%
Nov-22,13342,53011,"ChargePlace Scotland, Ingliston Country Club, Ingliston Country Club 7kW Tariff, BP - ChargePlace Scotland",Renfrewshire,PA7 5PA,Any,ChargePlace Scotland,8,134.16,0,100.00%
Nov-22,13386,53050,"ChargePlace Scotland, Dornoch Castle Hotel, Dornoch Castle Hotel 22kW Tariff, BP - ChargePlace Scotland",Highland,IV25 3SD,Any,ChargePlace Scotland,6,122.39,0,100.00%
Nov-22,13387,53049,"ChargePlace Scotland, Dornoch Caravan & Camping, Dornoch Caravan & Camping 7kW Tariff, BP - ChargePlace Scotland",Highland,IV25 3LX,Any,ChargePlace Scotland,38,698.44,0,100.00%
Nov-22,13388,53038,"ChargePlace Scotland, Townhead Hotel, Townhead Hotel 7KW Tariff, BP - ChargePlace Scotland",Highland,DG11 2AG,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13389,53048,"ChargePlace Scotland, Tain Golf Club, Tain Golf Club 7KW Tariff, BP - ChargePlace Scotland",Highland,IV19 1JE,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13390,53052,"ChargePlace Scotland, Spar Shop, Leven Street, Motherwell 22KW Tariff, Spar Shop, Motherwell, BP - ChargePlace Scotland",North Lanarkshire,ML1 3HY,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13392,53047,"ChargePlace Scotland, Crystal House, Crystal House Retreat, Strathpeffer 7kW Tariff, BP - ChargePlace Scotland",Highland,IV14 9AW,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13422,53046,"ChargePlace Scotland, Crystal House, Crystal House Retreat, Strathpeffer 7kW Tariff, BP - ChargePlace Scotland",Highland,IV14 9AW,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13424,53040,"ChargePlace Scotland, Port A Bhaigh Campsite, Port A Bhaigh Campsite 7KW Tariff",Highland,IV26 2YR,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13426,53041,"ChargePlace Scotland, Port A Bhaigh Campsite, Port A Bhaigh Campsite 7KW Tariff, BP - ChargePlace Scotland",Highland,IV26 2YR,Any,ChargePlace Scotland,2,0.05,0,100.00%
Nov-22,13440,53061,"Castleton Farm Shop, Castleton Farm Shop & Cafe 22kW Tariff, ChargePlace Scotland, BP - ChargePlace Scotland",Aberdeenshire,AB30 1JX,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13441,53062,"Castleton Farm Shop, Castleton Farm Shop & Cafe 22kW Tariff, ChargePlace Scotland, BP - ChargePlace Scotland",Aberdeenshire,AB30 1JX,Any,ChargePlace Scotland,35,431.89,0,100.00%
Nov-22,13442,52769,"Buchan Saw and Tool Service, Buchan Saw and Tool Service 22kW Tariff, ChargePlace Scotland, BP - ChargePlace Scotland",Aberdeenshire,AB42 4JL,Any,ChargePlace Scotland,29,432.49,0,100.00%
Nov-22,13447,52192,"Bankhead Farm Guest House, Bankhead Farm Guest House 7kW Tariff, ChargePlace Scotland, BP - ChargePlace Scotland",West Lothian,EH52 6NB,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13455,53214,"ChargePlace Scotland, Mercat Grill, Mercat Grill 7kW Tariff, BP - ChargePlace Scotland",East Lothian,EH21 8PG,Any,ChargePlace Scotland,5,7.59,0,100.00%
Nov-22,13499,53063,"ChargePlace Scotland, The Boyndie Trust, The Boyndie Trust 7 KW Tariff, BP - ChargePlace Scotland",Aberdeenshire,AB45 2JT,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13500,53215,"ChargePlace Scotland, Mercat Grill, Mercat Grill 7kW Tariff, BP - ChargePlace Scotland",East Lothian,EH21 8PG,Any,ChargePlace Scotland,21,241.33,0,100.00%
Nov-22,13505,53225,"Callendar Estate, ChargePlace Scotland, BP - ChargePlace Scotland",Falkirk,FK1 3AZ,Any,ChargePlace Scotland,0,0,1,100.00%
Nov-22,13506,52770,"ChargePlace Scotland, The Woodhouse Kippen, The Woodhouse Kippen 7KW Tariff, BP - ChargePlace Scotland",Stirling,FK8 3JA,Any,ChargePlace Scotland,25,232.71,0,100.00%
Nov-22,13519,53887,"ChargePlace Scotland, Jura Development Trust, BP - ChargePlace Scotland",Argyll and Bute,PA60 7XG,Any,ChargePlace Scotland,2,0,0,100.00%
Nov-22,13565,53277,"ChargePlace Scotland, Loch Kinord Hotel, Loch Kinord Hotel 7kW Tariff, BP - ChargePlace Scotland",Aberdeenshire,AB34 5LW,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13566,53274,"ChargePlace Scotland, Roddenloft Estate, BP - ChargePlace Scotland",East Ayrshire,KA5 5HH,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13582,53133,"ChargePlace Scotland, Serco NorthLink Ferries, BP - ChargePlace Scotland",Aberdeen City,AB11 5NP,Any,ChargePlace Scotland,0,0,0,100.00%
